Epoch,Surrogate,Alpha,Train_Loss,Train_Acc,Test_Acc,Time
1,SuperSpike,10.0,1.9049465710449218,0.38646,0.4778,34.23923969268799
2,SuperSpike,10.0,1.8048118772125243,0.48522,0.5387,29.522318124771118
3,SuperSpike,10.0,1.7738829899215698,0.5231,0.571,28.98655676841736
4,SuperSpike,10.0,1.7552953241729736,0.54944,0.5345,28.287238597869873
5,SuperSpike,10.0,1.743580234375,0.56886,0.5387,28.27575993537903
6,SuperSpike,10.0,1.7347998672103881,0.5776,0.5789,28.02301263809204
7,SuperSpike,10.0,1.725412098350525,0.59188,0.5726,28.29828977584839
8,SuperSpike,10.0,1.719218648109436,0.6022,0.5886,27.928444623947144
9,SuperSpike,10.0,1.712933604888916,0.61464,0.577,28.003214597702026
10,SuperSpike,10.0,1.7069496882247925,0.62062,0.5881,27.067988872528076
11,SuperSpike,10.0,1.7011008084869386,0.63542,0.585,26.852456092834473
12,SuperSpike,10.0,1.6975454726791381,0.64366,0.6159,25.57649874687195
13,SuperSpike,10.0,1.6922227648162842,0.64914,0.6205,24.241969108581543
14,SuperSpike,10.0,1.6885328164672853,0.65904,0.6353,23.960124492645264
15,SuperSpike,10.0,1.6846221269989015,0.66056,0.5976,25.05164361000061
16,SuperSpike,10.0,1.6830485382080078,0.66636,0.6246,25.07243275642395
17,SuperSpike,10.0,1.678178943977356,0.67482,0.6236,24.124446153640747
18,SuperSpike,10.0,1.6751696482086182,0.68398,0.6235,26.50910258293152
19,SuperSpike,10.0,1.6735786989593506,0.68134,0.6261,27.638175010681152
20,SuperSpike,10.0,1.6719544174575807,0.68644,0.6385,27.34661078453064
21,SuperSpike,10.0,1.671047897758484,0.6908,0.623,26.00199270248413
22,SuperSpike,10.0,1.6671709941482544,0.69782,0.6572,25.143919944763184
23,SuperSpike,10.0,1.6651632051086427,0.69794,0.6267,27.130902528762817
24,SuperSpike,10.0,1.6632106914520264,0.7022,0.6502,27.503688097000122
25,SuperSpike,10.0,1.6611018309402465,0.70514,0.6674,26.94853663444519
26,SuperSpike,10.0,1.6577150087738037,0.71546,0.6611,26.448149919509888
27,SuperSpike,10.0,1.6560027883148194,0.7149,0.6516,24.727827072143555
28,SuperSpike,10.0,1.655411412086487,0.7178,0.6507,24.346258878707886
29,SuperSpike,10.0,1.6555571236419677,0.7182,0.6668,25.766190767288208
30,SuperSpike,10.0,1.6540851293563843,0.71912,0.6634,25.579687356948853
31,SuperSpike,10.0,1.6501397001647948,0.72546,0.6558,24.819188833236694
32,SuperSpike,10.0,1.6479072693252563,0.72852,0.6614,27.090344667434692
33,SuperSpike,10.0,1.6492998181152343,0.7348,0.6818,27.775732040405273
34,SuperSpike,10.0,1.646128261566162,0.73854,0.6685,28.816842079162598
