Epoch,Surrogate,Alpha,Train_Loss,Train_Acc,Test_Acc,Time
70,PiecewiseLinear,1.0,1.7102599393844604,0.72746,0.6127,24.793673038482666
71,PiecewiseLinear,1.0,1.710535372390747,0.72696,0.6171,24.14161705970764
72,PiecewiseLinear,1.0,1.7094555332565307,0.7292,0.6232,22.78557562828064
73,PiecewiseLinear,1.0,1.7094999340057373,0.7288,0.62,23.457356929779053
74,PiecewiseLinear,1.0,1.7101961852264405,0.72882,0.6099,24.600088596343994
75,PiecewiseLinear,1.0,1.7089071142196655,0.72972,0.6161,25.040109395980835
76,PiecewiseLinear,1.0,1.7099300849914552,0.72826,0.6147,24.373895168304443
77,PiecewiseLinear,1.0,1.7083976084899903,0.72994,0.6152,25.323548555374146
78,PiecewiseLinear,1.0,1.708173186225891,0.7301,0.616,23.54707169532776
79,PiecewiseLinear,1.0,1.7077230010604858,0.73034,0.6196,22.685227155685425
80,PiecewiseLinear,1.0,1.7067061096572875,0.73396,0.6051,17.673023223876953
81,PiecewiseLinear,1.0,1.7076466887283326,0.7325,0.6181,18.33708930015564
82,PiecewiseLinear,1.0,1.7061783821868897,0.73408,0.6213,21.86832022666931
83,PiecewiseLinear,1.0,1.705869415359497,0.73272,0.62,24.366414785385132
84,PiecewiseLinear,1.0,1.7061640739440918,0.733,0.6169,23.820232629776
85,PiecewiseLinear,1.0,1.7056774043273926,0.7334,0.6216,24.46890926361084
86,PiecewiseLinear,1.0,1.7053538843154907,0.73544,0.6193,26.71110439300537
87,PiecewiseLinear,1.0,1.7047945615768432,0.73484,0.6152,26.483320713043213
88,PiecewiseLinear,1.0,1.7044123741531372,0.73564,0.6134,26.5550057888031
89,PiecewiseLinear,1.0,1.704720619277954,0.73762,0.6176,25.60957169532776
90,PiecewiseLinear,1.0,1.7036864911651612,0.73656,0.6154,21.500627756118774
91,PiecewiseLinear,1.0,1.7035156114959717,0.736,0.6165,17.62985324859619
92,PiecewiseLinear,1.0,1.7041906410980225,0.73588,0.6214,18.670830726623535
93,PiecewiseLinear,1.0,1.7030512160491944,0.73662,0.6179,22.140235424041748
94,PiecewiseLinear,1.0,1.7027498292541503,0.73824,0.6235,24.222349405288696
95,PiecewiseLinear,1.0,1.7028719239807129,0.73788,0.625,24.12758231163025
96,PiecewiseLinear,1.0,1.702156587562561,0.73852,0.6193,23.816673755645752
97,PiecewiseLinear,1.0,1.7016954858779907,0.73844,0.6158,25.744699001312256
98,PiecewiseLinear,1.0,1.7014125848007202,0.73928,0.6204,26.69628620147705
99,PiecewiseLinear,1.0,1.7020260987472535,0.73924,0.6151,25.473026752471924
100,PiecewiseLinear,1.0,1.7016541131591796,0.73866,0.6198,23.398980140686035
